file,forwarder_company,shipper_company,consignee_company
235831-699-00771385 HAWB_375620180110160244-Page(1).jpg,,,
235834-MX-M502N_20180110_171532_229920180110151208-Page(1).jpg,,,
235836-217-16890156_304120180110135708-Page(6).jpg,,,
235837-AWBLayout_229920180110130209-Page(2).jpg,,,
235838-131-29348896_304120180110124704-Page(4).jpg,,,
235839-image2018-01-09-163446_229920180110103707-Page(3).jpg,,,
235844-Pre-Alert20180110184615622_249820180110162149-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235846-Email Copy - 125-43959182_333920180110180322-Page(4).jpg,,,
235847-JFK6007_304120180111002608-Page(3).jpg,,,
235848-HAWB 3462466 Consignee_249820180111012109-Page(1).jpg,CONCORDIA INTERNATIONAL FORWARDING CORP,,
235849-Pre_Alert20180111032506704_304120180111010108-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235850-Pre_Alert20180111032506704_304120180111010108-Page(6).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235851-Email Copy - 125-44469283_130120180110201631-Page(3).jpg,,,
236181-Email Copy - 098-77505164_130220180120163609-Page(5).jpg,,,
236182-JFK6282_304220180121012210-Page(6).jpg,,,
236183-JFK6282_304220180121012210-Page(7).jpg,,,
236184-JFK6282_304220180121012210-Page(8).jpg,,,
236185-JFK6282_304220180121012210-Page(9).jpg,,,
236186-JFK6264_230020180121013013-Page(4).jpg,,,
236187-SCAN_20180119093230_120420180122103732-Page(3).jpg,,,
236188-SZAE18012145_230020180122100614-Page(3).jpg,,,
236190-HouseAirwayBill55218-01188_230020180119192611-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
236191-AWBLayout (6)_226320180122153217-Page(2).jpg,,,
235897-098-66084550_249820180112142151-Page(4).jpg,,,
235917-Email Copy - 098-77505212_130120180112183035-Page(3).jpg,,,
235941-AWBLayout_130120180112214636-Page(2).jpg,,,JCB INDIA LTD .
235953-Email Copy - 125-47859582_351120180113001043-Page(7).jpg,,,
235964-JFK6079_229920180114000022-Page(6).jpg,,,
235977-Pre-Alert20180113143802873_304120180113121220-Page(11).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235992-HouseAirwayBill71218-01025_195520180116102211-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
236031-16JAN201815340318_2020d95c_249820180117104218-Page(1).jpg,,,
236058-MX-M502N_20180118_144817_249820180118121829-Page(1).jpg,,,
236080-DFW4328_304220180119040112-Page(3).jpg,,,
236091-ORD3337_304220180118224106-Page(5).jpg,,,
236104-BOM PTW_178520180118201628-Page(1).jpg,,,JCB INDIA LIMITED
236116-hawb_351220180119113931-Page(1).jpg,,,
236152-Pre_Alert20180119223952102_304220180119201608-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
236168-JFK6265_304220180121013010-Page(6).jpg,,,
236180-Email Copy - 098-77505164_130220180120163609-Page(4).jpg,,,THAMES SIDE SENSORS INDIA PVT LTD
236192-Email Copy - 125-47859545_130220180122173717-Page(3).jpg,,,
236234-Pre_Alert20180124023142348_371920180124001047-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,NESCAL ( S ) PTE LTD,
236249-Air Way bill 12 vias Beta_195520180124170216-Page(1).jpg,,,
235872-843-1340_249820180111212910-Page(1).jpg,,,
235873-Email Copy - 125-44469375_371820180111223936-Page(3).jpg,,,
235874-Email Copy - 125-44469375_371820180111223936-Page(4).jpg,,,
235875-01752711_334020180112000715-Page(1).jpg,,,
235876-MIA1427_304120180112022610-Page(3).jpg,CONCORDIA INTERNATIONAL FORWARDING CORP,,
235877-HouseAirwayBill55218-01127_229920180112024612-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
235878-SKM_28718011210290_304120180112080710-Page(3).jpg,JJB LINK LOGISTICS HONG,,
235879-WYL1801431_351120180112101126-Page(1).jpg,"JOYSPEED GLOBAL CARGO CO. , LTD",,
235880-AWBLayout_304120180112104018-Page(2).jpg,,,
235881-AWBLayout_124820180112124445-Page(1).jpg,,,
235882-HAWB EUR18005B_304120180112115210-Page(1).jpg,,,
235883-HAWB_229920180112120124-Page(1).jpg,,,
236169-SFO6405_249820180121012214-Page(4).jpg,,,
236170-JFK6282_304220180121012210-Page(4).jpg,,,
236171-JFK6282_304220180121012210-Page(5).jpg,,,
236172-MIA1516_230020180121012212-Page(3).jpg,CONCORDIA INTERNATIONAL FORWARDING CORP,,
236173-ORD3402_304220180120213604-Page(3).jpg,,,
236174-ORD3402_304220180120213604-Page(4).jpg,,,
236175-Email Copy - 125-47859593_130220180120173713-Page(3).jpg,,,
236176-Email Copy - 125-47859593_130220180120173713-Page(4).jpg,,,KOTAK MAHINDRA BANK LTD
236177-Email Copy - 125-47859593_130220180120173713-Page(5).jpg,,,KOTAK MAHINDRA BANK LTD
236178-Email Copy - 125-47859593_130220180120173713-Page(6).jpg,,,
236179-Email Copy - 098-77505164_130220180120163609-Page(3).jpg,,,
236117-WYL1801456_226320180119113635-Page(1).jpg,,,
236118-MX-M502N_20180119_175042_124820180119152421-Page(1).jpg,,,
236120-MX-M502N_20180119_183819_230020180119161403-Page(1).jpg,,,
236121-AWBLayout_130120180119160914-Page(2).jpg,,,
236122-HouseAirwayBill24218-01049_328020180119160922-Page(1).jpg,,,
236123-MX-M502N_20180119_181853_230020180119155309-Page(1).jpg,,,
236128-114231293_HO0000634160_328020180119174220-Page(1).jpg,,,JCB INDIA LTD
236130-Email Copy - 125-47859534_202120180119165920-Page(3).jpg,,,
236131-Email Copy - 125-47859534_202120180119165920-Page(4).jpg,,,
236134-MX-M502N_20180119_190244_409420180119163338-Page(1).jpg,,,
236141-IPEKIS_130220180120092114-Page(2).jpg,,,
236142-ORD3384_304220180120051607-Page(3).jpg,,,
236143-IAH5505_304220180120040111-Page(3).jpg,,,
236144-4180_001_305720180119203613-Page(3).jpg,,,
236145-4180_001_305720180119203613-Page(5).jpg,,,
236146-4180_001_305720180119203613-Page(6).jpg,,,
236147-4180_001_305720180119203613-Page(8).jpg,,,
236149-4180_001_305720180119203613-Page(10).jpg,,,
236150-Pre_Alert20180119224906186_304220180119202211-Page(3).jpg,,,
236151-Pre_Alert20180119224906186_304220180119202211-Page(9).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
236081-IAH5490_304220180119033615-Page(3).jpg,,,
236082-SZAE18011387 HAWB_305720180119032627-Page(1).jpg,,,
236083-SZAE18011387 HAWB_305720180119032627-Page(2).jpg,,,
